link_no,name,length,traffic,criticality
N1-35R,Baroirdala Z1086- Barabkunda Z1087 (Right),11.799,15679.0,9.26546145503545e-05
N1-36R,Barabkunda Z1087-Fouzderhat Z1016 (Right),22.004,15679.0,9.257675352972395e-05
N1-31R,Fazilpur Z1081 - Muhuriganj Z1032 (Right),3.897,14847.0,8.655826398726226e-05
N1-29R,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Right),3.88,14847.0,8.508367686652526e-05
N1-44,Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057),0.326,14826.0,8.165020399784454e-05
N1-27R,Int.with Z1031 - Elahiganj (Feni) Z1030 (Right),2.783,14584.0,8.154865046305949e-05
N1-45,Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039),1.34,14826.0,8.025132764440988e-05
N1-46,Patiya (Int.with Z1039)-Khanhat Int.with Z1026,9.572,14826.0,7.87052011485084e-05
N1-34R,Mirersarai Z1021 - Baroirdala Z1086 (Right),13.139,12098.0,7.143271664025769e-05
N1-47,Khanhat Int.with Z1026 - Hashimpur Z1036,3.031,13742.0,7.138112049226665e-05
